"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 27 02:39:15 UTC 2024","Wed Mar 27 02:39:23 UTC 2024","8054","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","3. Create new Individual investment account",""
"passed","Wed Mar 27 03:39:30 UTC 2024","Wed Mar 27 03:39:34 UTC 2024","3879","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","9. Complete Bank Details",""
"passed","Wed Mar 27 06:02:19 UTC 2024","Wed Mar 27 06:02:27 UTC 2024","8050","","20. Admin Portal - Check details","","","","4. Direct to Account’s client portal",""
"passed","Wed Mar 27 03:40:33 UTC 2024","Wed Mar 27 03:40:36 UTC 2024","2872","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","13. Review Final Review",""
"passed","Wed Mar 27 02:39:47 UTC 2024","Wed Mar 27 02:40:10 UTC 2024","22624","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","6. Complete Build Your Portfolio",""
"passed","Wed Mar 27 03:47:40 UTC 2024","Wed Mar 27 03:47:49 UTC 2024","8960","","6. Company Account","","","","7. Complete In Company Details",""
"passed","Wed Mar 27 04:38:02 UTC 2024","Wed Mar 27 04:38:07 UTC 2024","4657","","12. Client Portal - Forms","","","","3. Expand Superannuation Forms",""
"passed","Wed Mar 27 05:04:26 UTC 2024","Wed Mar 27 05:04:28 UTC 2024","2439","","13. Client Portal - Change Portfolio","","","","2. Direct user to “Investment Choice”",""
"passed","Wed Mar 27 03:44:36 UTC 2024","Wed Mar 27 03:44:57 UTC 2024","20433","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","7. Complete In Trust Details",""
"passed","Wed Mar 27 03:43:37 UTC 2024","Wed Mar 27 03:43:55 UTC 2024","18079","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Wed Mar 27 06:02:30 UTC 2024","Wed Mar 27 06:02:31 UTC 2024","1167","","20. Admin Portal - Check details","","","","6. Check Account Settings & History (Data Snapshots)",""
